track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,entropy_amplitude,complexity_amplitude,entropy_flux,complexity_flux,entropy_harmony,complexity_harmony,entropy_spectral,complexity_spectral,higuchi_fd,box_counting_fd
4EYc4UZ4GeuGzpUmTapq6L,Quavo,GANG GANG - HIP HOP & RAP,WORKIN ME,4,169620,True,0.79,0.628,8,-4.055,1,0.142,0.182,7.06e-06,0.338,0.267,170.023,4,hip-hop,0.8265458175809588,0.2644531672767133,0.6592908271419474,0.3754440749158372,0.7401143018134213,0.2821503031060695,0.7087562625030752,0.4390551427953398,1.6577802360404454,1.8597356603338375
0e9DDb2TnNwSv8lV1EpMuD,Wazir Patar,Notorious,Notorious,62,180000,True,0.829,0.615,9,-5.223,1,0.261,0.0657,0.0,0.0683,0.525,83.93,4,hip-hop,0.8639851897517999,0.2455621573956664,0.691990544873465,0.3533950925302879,0.7325917474881452,0.3070371238866313,0.7050547757679836,0.4338890118843881,1.6834439987674088,1.8520711964814036
6C75pCSzgl5EJtvIuTqmyO,Kodak Black,Put It on Me: Trending Hip Hop 2022,Haitian Scarface,1,145245,True,0.569,0.459,1,-6.354,0,0.355,0.0648,0.0,0.168,0.0649,107.253,5,hip-hop,0.9061197085820896,0.181888518623941,0.7350075407281126,0.3424580595802166,0.8231436509140881,0.2442637933933715,0.7619982529771971,0.4118278550270611,1.604810168297372,1.8579148322005443
0MHiYjjcHNYM9KURa6NveF,Dabzee;SA,"Manavaalan Thug (From ""Thallumaala"")","Manavaalan Thug - From ""Thallumaala""",72,200000,False,0.809,0.583,1,-8.771,1,0.0605,0.356,0.0,0.0622,0.478,96.049,4,hip-hop,0.8551857794089247,0.2468157957652276,0.6862336935781838,0.3773965230342813,0.8383647627022082,0.2475893866506329,0.7123565630740697,0.4117187439671556,1.7242669151583672,1.867412714891776
7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky;Skepta,TESTING,Praise The Lord (Da Shine) (feat. Skepta),82,205040,True,0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,4,hip-hop,0.7649290366264477,0.3043593836020544,0.673514068526599,0.3756167306283838,0.571443759850977,0.3464483347094695,0.7806604030904509,0.4064064990846366,1.4828109542920385,1.852036036664607
39E9H1TC1i2BM2S9oaNbS6,Lizzo;Purple Disco Machine,Cardio Tracks,About Damn Time - Purple Disco Machine Remix,5,218476,True,0.8,0.771,10,-6.638,0,0.123,0.0531,0.0,0.229,0.886,118.991,4,hip-hop,0.8713378001389334,0.2421480888231156,0.6581829205499764,0.3887522087061911,0.8015363784412213,0.2931255610050692,0.7984490885863431,0.3983874471945143,1.712153407232316,1.858511558428827
4chxJYv0qsOKQukt6cKp97,Mustafa Zahid,Awarapan (Original Soundtrack),Toh Phir Aao,60,348280,False,0.459,0.563,9,-6.369,0,0.0263,0.39,1.98e-06,0.107,0.0961,101.996,4,hip-hop,0.8528085791476095,0.2288147017970198,0.7249779586095159,0.3372135566515682,0.8903727800831889,0.1989034921492892,0.4855512701084613,0.3743501912416497,1.7152868889467965,1.8646645741736725
2kbxGCtWSV0f1ON720Bd4O,Anirudh Ravichander;Alisha Thomas,Maari (Original Motion Picture Soundtrack),Don'u Don'u Don'u - The Don's Romance,59,195709,False,0.776,0.82,8,-4.405,0,0.0414,0.287,0.000361,0.242,0.773,89.982,4,hip-hop,0.8788784037865568,0.2177996849368408,0.669899927508665,0.3778718062311628,0.8098342230303993,0.2642715854077228,0.7445842399816992,0.4245427657172472,1.730571826601793,1.8500440820625663
2a7zxjZ1I88Z6sYm0ThuSc,Jordan Sandhu;Mehar Vaani;Desi Crew,Black Effect,Black Effect,62,175890,False,0.676,0.739,4,-5.319,0,0.159,0.137,0.0,0.233,0.755,146.056,4,hip-hop,0.9015510444250088,0.1907931485248765,0.7000717698654811,0.3758033657767557,0.8159732920523034,0.251384126869696,0.7259667001122552,0.4378170457562634,1.732798384484874,1.8609195170147337
0Fs9cdPDhptWEDJmiCbkEW,J. Cole;Cults;Amber Coffman,Born Sinner (Deluxe Version),She Knows (feat. Amber Coffman & Cults),82,296520,True,0.766,0.74,1,-10.363,1,0.0807,0.0193,0.0784,0.229,0.183,118.008,4,hip-hop,0.8418755317791748,0.2694587844204624,0.7034452284244785,0.3412237105427243,0.673164263402654,0.3226572715079592,0.7211436844087709,0.4300759904971648,1.615306381370918,1.850318149356682
3C6ST7yv6lmAH0sJEoGmJC,Burna Boy;Ed Sheeran,Totally Rap,For My Hand,0,159123,False,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,4,hip-hop,0.841464432939555,0.2517507887952636,0.6880453550514968,0.3792580114896381,0.7966276563199958,0.2915806425828922,0.769001424687454,0.4153202683823055,1.651405483700387,1.85636862469132
5aa4zMfrJ16iDnS6UIKtlL,Daler Mehndi;Hrishikesh;Neuman;FRANCO;Shazneen Arethna;Samantha;Sunayana,Hanuman Returns,Aasman Ko Chukar,64,274081,False,0.536,0.438,7,-12.894,1,0.103,0.119,0.0,0.129,0.127,144.626,4,hip-hop,0.9284543051185582,0.1459584437716587,0.7698270487619122,0.3232460819723442,0.7668273708470402,0.2849107345011228,0.8085670802478412,0.3838628214780081,1.7040465275096814,1.8589525579355
3uRrymHwcED49Q4fAnJJgD,Lizzo;DaBaby,Energy Hip Hop,Truth Hurts - DaBaby Remix,0,197610,True,0.706,0.627,4,-2.94,0,0.202,0.193,0.0,0.126,0.38,158.041,4,hip-hop,0.8946385422439128,0.2051688309911282,0.6597571173682285,0.388536284566834,0.7769268635479715,0.2700467991026167,0.7572701782878274,0.423141235735579,1.7691587924432386,1.8574319760390208
1pFOGFtQyqdlFgzmSVJ2fz,Prabh Gill,Adore You,Adore You,57,60000,False,0.708,0.631,9,-5.977,1,0.196,0.646,0.0,0.342,0.851,83.813,4,hip-hop,0.8824505961778736,0.2480720904921299,0.6808072854095171,0.3941774280625879,0.8674014003436918,0.2681569551824018,0.7226688317668561,0.4244002835339209,1.7250562353633152,1.8554322719380736
4B8RTAHSPfYpV222GsmEjq,Don Omar,Fiesta portatil,Zumba,2,263973,False,0.718,0.891,9,-3.494,0,0.0404,0.00175,0.0146,0.138,0.828,124.981,4,hip-hop,0.8896805997279528,0.2063568259654954,0.6425827681794642,0.3914740296903911,0.780104973565948,0.2829558213971254,0.7780490062793771,0.4083270431995998,1.7423543812993645,1.8638181296729184
